date,content
07.11.2017,Седьмое ноября - красный день календаря. Специально для ветеранов гражданской войны представляем лимитированную серию ГПИ труб Изоком с красной полоской!
03.10.2017,"Первая поставка ГПИ труб Изоком прошла успешно. Клиенты рады, таких приятных цен на такой тип труб в России еще не было."
14.08.2017,Теперь мы продаем трубы ИЗОКОМ по всей России. Обращайтесь!
01.06.2017,В день защиты детей даем детям-двойняшкам дополнительную скидку на трубы Изопрофлекс Тандем в Москве!
28.04.2017,"Дорогие клиенты! На майские праздники ожидается дорожный коллапс, рекомендуем заказать доставку заранее!"
08.03.2017,"Дорогие женщины, сегодня для вас трубы с расцветкой в цветочек!"
01.03.2017,Образован крупнейший ГПИ холдинг.
23.02.2017,Настоящие стальные мужчины выбирают только пластиковые трубы!
01.01.2017,Поздравляем всех с Новым Годом. Если доллар вырастет выше 100р - всем ТРУБА!!!
15.11.2016,"Обращаем Ваше внимание на то, что в новом году розничные цены на ГПИ трубы вырастут! Успейте до Нового Года!"
01.09.2016,Успейте проложить теплотрассу до начала отопительного сезона. Предлагаем спец. условия по монтажу. Звоните!
12.06.2016,Всем космонавтам скидки на трубы Упонор Экофлекс!
22.04.2016,Предлагаем дополнительные условия при покупке гибких теплоизолированных труб к майским праздникам. Звоните нашим менеджерам.
01.04.2016,Начались продажи труб из криптонита.
08.03.2016,"Дорогие, женщины! Чтобы ваши трубы не горели и всегда работали, как часы!"
23.02.2016,Всем мужчинам дополнительная скидка на трубы Изопрофлекс!
01.01.2016,С Новым годом! С этого года у нас еще больше труб и лучше условия!
25.12.2015,"Сообщаем Вам, что монтажный отдел нашей компании на дежурстве в новогодние праздники! Если у Вас авария, повреждение изопрофлекс или касафлекс, мы постараемся ее устранить даже в эти дни."
07.12.2015,Повышение цен на продукцию группы «Полимертепло» в среднем на 25% с января 2016 года. Заявки по ценам 2015 года принимаются до 25.12.2015 г. Успей купить!
23.11.2015,"Черная пятница в ГлавТрубТорге! Распродажа фитингов, теплоизолированных труб, радиаторов, котлов. Срок действия акции с 27.11.2015 до 30.11.2015. Подробности и перечень акционной продукции уточняйте у менеджеров."
18.11.2015,"Информируем о появлении в ассортименте трубы Uponor  нового типоразмера 1018147 Uponor Ecoflex Quattro 2X25X2,3-2X25X3,5/175. Новинка стоит на 10% меньше ближайшего аналога 1034173 UPONOR QUATTRO 2X25X2,3-28X4,0-18X2,5/175. Данная труба в наличии на складе в Москве, заявки уже принимаются!"
07.09.2015,Повышение цен на продукцию Uponor на 15% с 24.09.2015 г. Успей купить по старой цене!
12.08.2015,"Теперь в продаже системы отопления Buderus (котлы, радиаторы и др). Подробности уточняйте у менеджеров."
04.06.2015,"Появилась услуга по срочной нарезке труб UPONOR. Почему невозможна срочная нарезка труб производства группы «Полимертепло»? (труб Изопрофлекс, Касафлекс). Подробности уточняйте у менеджеров."
13.04.2015,"Снижение цен на продукцию Uponor с 14.04.2015 г.! От 5% до 25%, в зависимости от категории, подробности уточняйте у менеджеров."
20.02.2015,"Информируем о начале продаж новых труб Uponor Comfort pipe (Pмакс.раб = 6 бар, Tмакс.раб = 70°С) для систем напольного отопления и охлаждения. Цена на 20% ниже по сравнению с трубами Uponor Comfort Pipe PLUS!"
02.02.2015,Повышение цен на продукцию Uponor в среднем на 15% с 16.02.2015 г. Успей купить по старой цене!
15.12.2014,"Повышение цен на продукцию группы «Полимертепло» в среднем на 11,5% с 2015 года. Заявки по ценам 2014 года принимаются до 29.12.2014 г. Успей купить!"
11.12.2014,Распродажа фитингов для Изопрофлекс и Изопрофлекс 115А! Позиции и скидки уточняйте и менеджеров.
28.11.2014,Предновогодняя распродажа продукции Uponor – «Черная пятница»! Позиции и скидки уточняйте и менеджеров. Срок действия – до 31.12.2014 г.
13.11.2014,Повышение цен на продукцию Uponor в среднем на 10% с 24.11.2014 г. Успей купить по старой цене!
22.09.2014,Продолжается распродажа некоторых артикулов продукции Uponor! Позиции и скидки уточняйте и менеджеров.
01.08.2014,"Повышение цен на продукцию Uponor в среднем на 3,4% с 01.09.2014г. Заказы по текущим ценам принимаются до конца августа 2014, успей купить!"
18.06.2014,Распродажа продукции Uponor! Позиции и скидки уточняйте и менеджеров.
10.06.2014,С 20 июня 2014 г. грядет небольшое изменение цен на септики Лидер. Подробности уточняйте у менеджеров.
18.03.2014,"В продаже появились радиаторы, задвижки, шаровые краны, затворы, вентили, фланцы, люки, манометры! Наличие и цены уточняйте у менеджеров."
28.01.2014,"Повышение цен на продукцию Uponor на 10% на весь ассортимент с 01.03.2014г. Заказы по текущим ценам принимаются до конца февраля 2014, успей купить!"
23.01.2014,"Сообщаем о расширении ассортимента! В продаже появились одно и двутрубные системы Флексален 600 (Flexalen 600), трубы больших диаметров Флексален 1000 (Flexalen 1000), фитинги, монтажный инструмент, изоляция для труб ThermaECO, Thermasheet FR и многое другое! Подробности уточняйте у менеджеров."
03.09.2013,"Повышение цен на некоторую продукцию Uponor с 01.10.2013. Заказы по текущим ценам принимаются до конца сентября 2013, успей купить!"
23.05.2013,"Сообщаем о расширении ассортимента: в продаже появились септики Green Rock, Промсток и Лидер, скидки на септики Uponor Sako и  Bio!"
20.02.2013,В продаже появились насосы Grundfos! Наличие и цены уточняйте у менеджеров.
17.12.2012,Распродажа Изопрофлекс. Успей купить Изопрофлекс по старым ценам!
21.11.2012,Акция на трубы Упонор Термо Твин подробности по телефону. (Идеальное решение для теплотрассы от котельной)
01.04.2012,"Скидки на трубы ИЗОПРОФЛЕКС ТАНДЕМ и ИЗОПРОФЛЕКС КВАДРИГА, успей купить до 1 мая!!!"
07.10.2011,Для вашего удобства и экономии средств мы ввели услугу по аренде монтажного инструмента. Подробная информация в разделемонтаж.
12.05.2011,Теперь мы можем предложить нашим клиентам бесплатно пройти курсы по монтажу труб и комплектующих ИЗОПРОФЛЕКС и КАСАФЛЕКС. Подробная информация в разделемонтаж.
